ID,Prediction
TEST_1_64,"Couple Arrested at Gunpoint for Stolen Doll, Wants $10M Lawsuit: ""We're Just Trying Not To Get Shot"" Phoenix Police Chief: ""It was completely inappropriate and clearly unprofessional"" Couple's 4-year-old Daughter Stole a Doll from Family Dollar"
TEST_1_65,"14th earl of Loudoun may have been rightful heir to British throne. Mike Hastings died in Australia at age 71. Hastings moved to Australia in 1960 and became a forklift driver. He joked: ""I reckon I might send Lizzie (Queen Elizabeth II) a bill for back rent"""
TEST_1_66,"Guitarist Jeff Healey dies of cancer at 41. Healey Sold More than 1 million Albums in U.S. After Losing His Eyesight to Cancer, Healey Had ""Virtuoso"" Guitarist Died of Retinoblastoma, Rare Form of Cancer"
TEST_1_67,"Stanford Ponzi Scam Grows from $3.8B to $8.5B in 4 years. ""No one would look at our documents,"" Former Stanford Employee Says. ""Stanford was just a bunch of robots,"" Another Former Stanford employee Says."
TEST_1_68,"Apple's Tim Cook Could Be Highest-Paid CEO in U.S. With $378M Payout, Tim Cook Is $900K A Year, $14K A 401(K) ""Chump Change,"" But If You're Tim Cook, You're Worth It"
TEST_1_69,"William Mo Cowan to Fill John Kerry's Senate Seat: First Time Two Black Senators At Same Time. Cowan joins Tim Scott of South Carolina, who Fill Jim DeMint's Seat in South Carolina. Scott and Cory Booker of New Jersey Could Be 2nd Black Senators in 2014."
TEST_1_70,"Women More Likely to Find Men Desirable if They've Had One or Two Relationships, Study Finds. Australian Study: Men More Desirable If They've Already Had 1 or 2 Relationships. Men who've Had 5 or More Relationships Have Desirability Advantage."
TEST_1_71,"Prince Charles turns 60 today, heir to British throne since age 3. Once derided and reviled, Charles has slowly, begrudgingly won his country's respect. At 40, his marriage to Diana was breaking down, and at 50 the tabloids cast him as the villain."
TEST_1_72,"$8 million spent on Clinton compared to $5.5 million for Bush, $4 million for Carter. Clinton earns more than $100 million since leaving office. Some question Clinton's reliance on taxpayer for $420,000 in phone bills, $3.2 million in rent."
TEST_1_73,"Canadian Man Gives $40M Lottery Prize to Cancer Charities in Honor of Wife of 33 years. Tom Crist: ""I'm fortunate enough that Iâ€™ve done well for myself ... financially"" ""I don't need the money,"" says 64-year-old winner."
TEST_1_74,"2-year-old Dog Left Hangs From Tree Receives More than $20,000 in Donations. Dog Recuperating in Foster Care in Tucson, Arizona. Dog's Medical Bills: $2,500, Will Put Money toward Other Animals' Care."
TEST_1_75,"Kathleen Durst's $100M Lawsuit: ""Durst infringed upon our right to sepulcher"" Durst never admitted to killing first wife Kathleen Durst 34 years ago. Kathleen's net worth is estimated at around $100 million. Durst is currently being held in New Orleans on a gun charge."
TEST_1_76,"New Indictment Indicts Kansas Doctor, Nurse in 9 More Patient Deaths. Doctor and Nurse Accused of Money Laundering, Defrauding Health-insurance Programs. 68 Patient Deaths Linked to Dr. Stephen Schneider's Clinic, Wife Linda's Work."
TEST_1_77,"More than 400 Zimbabweans die, 10,000 are sick from cholera, UN says. More than 500 people have died and half a million are sick, says opposition leader. Cholera spreads through dirty water and causes excessive vomiting and diarrhea. Robert Mugabe blames Western sanctions for the water crisis."
TEST_1_78,"Three U.S. Soldiers Among 10 Killed in Pakistan School Blast, 70 Others Injured in Taliban Attack. School in Dir Valley, Pakistan, was reopening after being reduced to rubble in an earlier attack. Pakistani Taliban Targets Opening Ceremony of Girls' School"
TEST_1_79,"Rashad Owens, 21, Accused of Plowing into Crowd at South by Southwest. Two Killed, 23 Injured in Austin, Texas, Crash. Owens faces capital murder charge, faces death penalty if convicted of crime. Owens also charged with driving under the influence in 2011 in Alaska."
TEST_1_80,"U.N.: Syrian Refugees Could Rise by 2-3 times by End of Year If Conflict Doesn't End U.N. Calls for More Help for Refugees in Turkey, Lebanon, Jordan, Jordan and Others. U.S., Europe, Others Urging Help for Syrian Refugees in Other Countries"
TEST_1_81,"Bobby Fuller, 23, Doused in Gas in Hot Car, Drowned in gasoline in 1966. Singer's Death Ruled a Suicide, Ruled 'One of Rock's strangest Deaths' New Biography Recalls Life and Strange Death of Bobby Fuller."
TEST_1_82,"UK Government: Memory Stick Contains Sensitive Personal Data in Parking Garage. Government: System Breach Threatens Security of 12 million People. ""Government cannot be trusted with all this information, but they collect more and more,"" says one MP. ""The government cannot be trust with all of this information,"" says another."
TEST_1_83,"South Celebrates 150th Civil War 150 Years With 'Confederate' Celebrations Include Seizure Balls, Re-enactments, Mock Swearing-in of Jefferson Davis. NAACP Plans to Protest Plans to Celebrate Civil War's 150th anniversary."
TEST_1_84,"10-year-old Girl Charged with Manslaughter in Death of 3-month-old Babysitter. Girl is youngest person in Maine to be charged with manslaughter in at least 25 years. Baby suffocated to death after being given medication, says mom. Baby's mother says girl suffocated her by putting hands over face."
TEST_1_85,"Philadelphia Phillies beat Los Angeles Dodgers, 5-4, to take 3-1 lead in N.L. Series. Jimmy Rollins Doubles in 9th to Drive Home Winning Runs in Game 5. Phillies' Jimmy Rollins doubles with two out in ninth to drive home tying and winning runs."
TEST_1_86,"Dow, S&P 500, Nasdaq Gain Despite Bad Jobs Report, Poor Earnings Reports Stocks Rise in Vote of Confidence for Obama. Obama: Another Fiscal Stimulus Package 'Long overdue' Rally somewhat recouped two days of steep losses after GM's $4.2B Loss"
TEST_1_87,"British Police Arrest Third Man Suspected of Jewelry Heist, $65M Heist ""Well Organized and Likely Involved Multiple Accomplices"" $65 million of jewelry was taken from retailer Graff Diamonds. Two Men Already in Custody from DNA Evidence Left at the Scene"
TEST_1_88,"Berkshire Hathaway to buy 77.4% of Burlington Northern Santa Fe for $26B. Deal would be Buffett's Largest Acquisition ever. Buffett: ""Itâ€™s an all-in wager on the economic future of the United States"" ""I love those bets"""
TEST_1_89,"55% Approve of Sotomayor's Supreme Court Nomination, 25% Disapprove. Senate Will Ultimately Decide. Sotormayor spends third straight day meeting with lawmakers on Hill. White House sends over huge file of writings and legal decisions."
TEST_1_90,"2-Day-Old Baby, 2-year-old Toddler Rescued from Sydney Apartment. Both Uninjured in 20-foot Fall from Second-floor Window. Mother, 27, Suffered Smoke inhalation, Cuts, Taken to Hospital."
TEST_1_91,"Dr. Louis Chen Stabbed Lover 177 Times, Slashed Toddler's Throat on Day 1 of Work. Chen Blames Cough Syrup for Killing Eric Cooper, Cooper's 2-year-old Son, in 2011 Murders. Chen: ""Cough syrup caused depression, paranoia, and a psychotic break"""
TEST_1_92,"Former EPA Official Pleads guilty to Stealing $900,000 in Stole from Agency. John C. Beale, 64, Faces 30 to 37 months in Prison for Stealing Nearly $900K in 13-year 'White Lie' Deal: Beale Must Pay $886K restitution, forfeit $507K, and pay fine of up to $60K."
TEST_1_93,"Drew Peterson Guilty of Killing Third Wife Kathleen Savio, Faces 60-year Sentence. Peterson Also Suspected in Disappearance of Fourth Wife Stacy Peterson. Peterson's Brother-in-law: ""Now I can go out there and say he's a murdering bastard"""
TEST_1_94,"Vincent Legrend Walters Caught After 24 years on the lam in Cancun, Mexico. Walters Is One of 15 Most Wanted Fugitives in U.S. Walters Charged with Kidnapping, Murder in 1988 in 1988 Drug Deal Gone Wrong."
TEST_1_95,"Cubs Eat 40-pound Goat to Break 'Billy Goat Curse' Cubs Beat Brewers 4-0, Gain Ground toward Wild-Card Spot in National League playoffs. Cubs Have Lived Under Billy Goat Curse for 69 years, 11 months, 17 days. Goat Crippled Cubs Since 1945 World Series"
TEST_1_96,"22-Pound Himalayan Cat Goes on Rant in Portland, Oregon. Couple Cower in Bedroom, Cops Chase Cat With Dog Snare, Force Cat into Carrier. ""It's only funny when it's not happening to you,"" Owner Teresa Barker says."
TEST_1_97,"No other film debuted nationwide, but in smaller markets Will Ferrell's Casa de Mi Padre banked a solid $2.2 million. The Lorax ($22.8 million), John Carter ($13.5), Project X ($4), and A Thousand Words ($3.8), reports Entertainment Weekly."
TEST_1_98,"Dow Falls 88.81, Nasdaq Falls 33.96, S&P 500 Falls 12.07. Wall Street Journal: ""Stocks turn lower amid grim economic news and varied responses to President Obamaâ€™s budget"" Stocks fall over fears of adverse effects from administration's healthcare reform."
TEST_1_99,"$1.1 trillion spending bill will keep government running until October next year. $1 trillion bill includes $650 billion in tax credits for 9/11 first responders, Syrian refugees. GOP Rep. Kline: ""We need to move past this, get this done and get on to 2016"""
TEST_1_100,"Toyota to Pay $1.2B in Settlement for Unintended Acceleration Scandal. It's the Largest Criminal Penalty for a Car Company in U.S. History. Deal Includes Deferred Prosecution Agreement, Suspends Indictment for Toyota."
TEST_1_101,"Haitian Officials Report 5 Cholera Cases in Port-au-Prince, 250 Death Toll: 250, 3,000 People Infected. Death toll: 250 in Haiti's Capital, 5 in Rural Parts of the Country. Health Chief: ""We have registered a diminishing in numbers of deaths and of hospitalised people"""
TEST_1_102,"31-year-old Woman in custody for Plot to kill Swedish Cartoonist. Jamie Paulin-Ramirez, aka 'Jihad Jane,' One of 7 Held in Ireland over Plot to Kill Cartoonist in Sweden. ""I love my daughter. Iâ€™m angry with her right now,"" Paulin Ramirez's mother says."
TEST_1_103,"President Obama Loses $25,000 in Beer at Iowa State Fair. ""I wouldn't have voted for (Obama) before. I wonâ€™t again,"" says owner of beer tent. Sen. Chuck Grassley: Obama cost owner $50,000, but he recouped some money."
TEST_1_104,"Chicago Train Derails at O'Hare Airport: 32 Injured, None seriously. Train Climbed Over Last Stop, Jumped Up Staircase, Then Went Up Stairs, Escalators. No serious injuries, but 32 People Were Injured."
TEST_1_105,"Travis Hittson, 45, Executed in Georgia for 1992 killing of Conway Utterbeck, 45. Ex-Navy Crewman Blinks, Takes Several Deep Breaths, Then Becomes Still in Death Chamber, Then Is Dead at 8:14pm"
TEST_1_106,"Egypt Sentences 9 Men to Life in Prison for Raped Women, Men in Tahrir Square. Seven Men Get Life Sentences, Two Teenagers Get 20-year Terms. More than 99% of women report being harassed in street, according to UN data."
TEST_1_107,"Lawyer Recruited Terminally Ill to Buy Annuities in Their Names, Cash In When They Die. Federal Prosecutors Probe Lawyer for $2,000-a-Person Scheme. Lawyer: ""I think theyâ€™re scumbags. They took advantage of my wife"""
TEST_1_108,"3.4% of U.S. Identify as LGBT, Survey Finds. 3.6% of Women, 3.3% of Men Say They're LGBT. More than 121,000 Americans Question LGBT Stereotypes, Study Finds (Cited by USA Today)"
TEST_1_109,"Ruth Newman, 113, Was 5 When San Francisco Quake Shook Her Home in 1906. Woman Survived Great San Francisco Earthquake for More Than 1,000 Years. Her Death Leaves Only One Other Surviving Quake Survivor, 109-year-old William Del Monte. Del Monte was 3 months old when quake hit."
TEST_1_110,"Two Dead in Kenosha, Wis., After Third Night of Protests, Police Shoot Two In The Chest, One In The Head, One Is In The Arm, Another Is In the Head, Reports The New York Times. Protests over Jacob Blake's Shooting Turn Violent in Atlanta, Ga."
TEST_1_111,"Tina Herrmann, Stephanie Sprang, Sarah Maynard, Kody Maynard missing. Police: Body Bag, handcuffs removed from house in Howard, Ohio. ""I just hope they show up and it's all been a huge misunderstanding,"" says one neighbor."
TEST_1_112,"Former Giants' Strahan Would Like $8M to Come Back, Source Says. $6.5M Isn't Enough to Lure Strahan Back from 77-day Retirement. Strahan's Agent Won't Rule Out Return, But Says He's Happy With Fox, But Loves Giants"
TEST_1_113,"South Africa's MeerKAT Shows 1,300 Galaxies in Tiny Patch of Sky, First Image Is Better than Expected. Scientists: It's the World's Most Powerful Radio Telescope at 16 of 64 D dishes. ""Beautiful"" Stars, Black Holes and Dark Energy Explored by South African Telescope."
TEST_1_114,"Pollster George Gallup dies of liver cancer at age 81. Gallup once considered becoming Episcopalian priest, worked as lay minister. Gallup: America's religion is broad but not deep, not that Americans don't believe anything. ""They believe everything. They believe everything,"" Gallup said."
TEST_1_115,"Danica Patrick, First Female IndyCar Winner in IndyCar History, Zips to Victory in Japan 300. ""It's been a long time coming,"" Patrick says. Patrick: ""I've been waiting for this day for a very, very long time"""
TEST_1_116,"8 million sign up for ObamaCare. Obama: ""I donâ€™t think we should apologize for it"" Obama says 35% of ObamaCare enrollees are 35 or younger. Obama sounds skepticism about Russia's role in Ukraine deal, says he's skeptical they'll use influence."
TEST_1_117,"Citigroup Gets $20B Bailout, Guarantee to Mop up $306B in Toxic Assets. U.S. Backs Citigroup with $29B in Bad Assets, 90% of Anything Over That. Citigroup Stock Falls 60% to 16-year Low."
TEST_1_118,"New York Web Site Offers $100 a Day to Review Public Restrooms. Site Creators of ToiletFinder.com Offer $100/Day for ""Creative, Helpful, and Disgusting"" Toilet Reviews. Site's Creator: Anyone who makes me laugh gets $20; winner gets the gig."
TEST_1_119,"Militants Slaughter 16 Police in Two Attacks in Afghanistan, One in Helmand, One In Baglan. New recruits join Afghan army since pay rates boosted to match Taliban fighters. New York Times: ""Wave of new recruits"" joins Afghan army after pay rates are boosted."
TEST_1_120,"18th-century Spanish Galleon Wreck Discovered in Argentina is 300-year-old. Wreck is 300 years old, found during construction of apartment complex in Buenos Aires. Several cannons, jugs of olive oil, cannons, and other artifacts found."
TEST_1_121,"Auction House Sells $1M Tyrannosaurus for $1 million in New York. Mongolian Government: Find illegally exported from Mongolia. Auction House Plans to Hold Back Sale Until Lawsuits Are Settled ""Fossil Smuggling"" Comes 50 years after Mongolia Ban on Fossil Exports"
TEST_1_122,"ISIS posts 100 U.S. Soldiers' Names, Ranks, Photos on Facebook, Twitter. ISIS: The 100 Are Involved in Airstrike Campaign. Pentagon: ""Safety of our service members is always a concern"" The military is working to notify those on the list of the breach."
